sphere_id,x,y,z,r,object_type,object_id,branch_id,parent_sphere_id
0,5,5,25,1.19355,0,0,0,-1
1,10,5,25,0.708983,0,1,0,-1
2,15,5,25,0.750072,0,2,0,-1
3,20,5,25,0.647391,0,3,0,-1
4,25,5,25,0.631165,0,4,0,-1
5,30,5,25,1.37986,0,5,0,-1
6,35,5,25,0.441779,0,6,0,-1
7,40,5,25,0.980269,0,7,0,-1
8,5,10,25,0.356031,0,8,0,-1
9,10,10,25,0.433679,0,9,0,-1
10,15,10,25,0.605644,0,10,0,-1
11,20,10,25,1.81233,0,11,0,-1
12,25,10,25,1.82423,0,12,0,-1
13,30,10,25,0.889154,0,13,0,-1
14,35,10,25,0.473805,0,14,0,-1
15,40,10,25,0.967073,0,15,0,-1
16,5,15,25,1.33055,0,16,0,-1
17,10,15,25,0.364266,0,17,0,-1
18,15,15,25,0.802926,0,18,0,-1
19,20,15,25,0.668297,0,19,0,-1
20,25,15,25,1.62226,0,20,0,-1
21,30,15,25,1.293,0,21,0,-1
22,35,15,25,1.01309,0,22,0,-1
23,40,15,25,0.296255,0,23,0,-1
24,5,20,25,0.905341,0,24,0,-1
25,10,20,25,0.56139,0,25,0,-1
26,15,20,25,1.02189,0,26,0,-1
27,20,20,25,2.42057,0,27,0,-1
28,25,20,25,0.762899,0,28,0,-1
29,30,20,25,0.170863,0,29,0,-1
30,35,20,25,1.26714,0,30,0,-1
31,40,20,25,0.603163,0,31,0,-1
32,5,25,25,1.24504,0,32,0,-1
33,10,25,25,1.38912,0,33,0,-1
34,15,25,25,0.654401,0,34,0,-1
35,20,25,25,0.795865,0,35,0,-1
36,25,25,25,0.536169,0,36,0,-1
37,30,25,25,1.40941,0,37,0,-1
38,35,25,25,0.354352,0,38,0,-1
39,40,25,25,0.896662,0,39,0,-1
40,5,30,25,0.986194,0,40,0,-1
41,10,30,25,0.705328,0,41,0,-1
42,15,30,25,0.825617,0,42,0,-1
43,20,30,25,1.45693,0,43,0,-1
44,25,30,25,1.03651,0,44,0,-1
45,30,30,25,2.01204,0,45,0,-1
46,35,30,25,0.438324,0,46,0,-1
47,40,30,25,0.853803,0,47,0,-1
48,5,35,25,2.50438,0,48,0,-1
49,10,35,25,0.999194,0,49,0,-1
50,15,35,25,0.701774,0,50,0,-1
51,20,35,25,1.86451,0,51,0,-1
52,25,35,25,1.4318,0,52,0,-1
53,30,35,25,1.13637,0,53,0,-1
54,35,35,25,1.19617,0,54,0,-1
55,40,35,25,1.6967,0,55,0,-1
56,5,40,25,0.584526,0,56,0,-1
57,10,40,25,0.950243,0,57,0,-1
58,15,40,25,0.942121,0,58,0,-1
59,20,40,25,0.300673,0,59,0,-1
60,25,40,25,0.354668,0,60,0,-1
