sphere_id,x,y,z,r,object_type,object_id,branch_id,parent_sphere_id
0,5,5,25,0.15,0,0,0,-1
1,10,5,25,0.15,0,1,0,-1
2,15,5,25,0.15,0,2,0,-1
3,20,5,25,0.15,0,3,0,-1
4,25,5,25,0.15,0,4,0,-1
5,30,5,25,0.15,0,5,0,-1
6,35,5,25,0.15,0,6,0,-1
7,40,5,25,0.15,0,7,0,-1
8,5,10,25,0.15,0,8,0,-1
9,10,10,25,0.15,0,9,0,-1
10,15,10,25,0.15,0,10,0,-1
11,20,10,25,0.15,0,11,0,-1
12,25,10,25,0.15,0,12,0,-1
13,30,10,25,0.15,0,13,0,-1
14,35,10,25,0.15,0,14,0,-1
15,40,10,25,0.15,0,15,0,-1
16,5,15,25,0.15,0,16,0,-1
17,10,15,25,0.15,0,17,0,-1
18,15,15,25,0.15,0,18,0,-1
19,20,15,25,0.15,0,19,0,-1
20,25,15,25,0.15,0,20,0,-1
21,30,15,25,0.15,0,21,0,-1
22,35,15,25,0.15,0,22,0,-1
23,40,15,25,0.15,0,23,0,-1
24,5,20,25,0.15,0,24,0,-1
25,10,20,25,0.15,0,25,0,-1
26,15,20,25,0.15,0,26,0,-1
27,20,20,25,0.15,0,27,0,-1
28,25,20,25,0.15,0,28,0,-1
29,30,20,25,0.15,0,29,0,-1
30,35,20,25,0.15,0,30,0,-1
31,40,20,25,0.15,0,31,0,-1
32,5,25,25,0.15,0,32,0,-1
33,10,25,25,0.15,0,33,0,-1
34,15,25,25,0.15,0,34,0,-1
35,20,25,25,0.15,0,35,0,-1
36,25,25,25,0.15,0,36,0,-1
37,30,25,25,0.15,0,37,0,-1
38,35,25,25,0.15,0,38,0,-1
39,40,25,25,0.15,0,39,0,-1
40,5,30,25,0.15,0,40,0,-1
41,10,30,25,0.15,0,41,0,-1
42,15,30,25,0.15,0,42,0,-1
43,20,30,25,0.15,0,43,0,-1
44,25,30,25,0.15,0,44,0,-1
45,30,30,25,0.15,0,45,0,-1
46,35,30,25,0.15,0,46,0,-1
47,40,30,25,0.15,0,47,0,-1
48,5,35,25,0.15,0,48,0,-1
49,10,35,25,0.15,0,49,0,-1
50,15,35,25,0.15,0,50,0,-1
51,20,35,25,0.15,0,51,0,-1
52,25,35,25,0.15,0,52,0,-1
53,30,35,25,0.15,0,53,0,-1
54,35,35,25,0.15,0,54,0,-1
55,40,35,25,0.15,0,55,0,-1
56,5,40,25,0.15,0,56,0,-1
57,10,40,25,0.15,0,57,0,-1
58,15,40,25,0.15,0,58,0,-1
59,20,40,25,0.15,0,59,0,-1
60,25,40,25,0.15,0,60,0,-1
61,30,40,25,0.15,0,61,0,-1
62,35,40,25,0.15,0,62,0,-1
63,40,40,25,0.15,0,63,0,-1
64,5,45,25,0.15,0,64,0,-1
65,10,45,25,0.15,0,65,0,-1
66,15,45,25,0.15,0,66,0,-1
67,5.00052,4.9995,25.2584,1.0338,0,0,0,0
68,10.0213,5.00113,25.2155,0.866042,0,1,0,1
69,15.0229,5.0079,25.237,0.953017,0,2,0,2
70,20.0079,5.02426,25.2399,0.964932,0,3,0,3
71,24.9926,5.0267,25.2479,0.997825,0,4,0,4
